head,relation,tail,mode
n11879054,_hypernym,n11868814,train
n01801088,_hyponym,n01801479,train
n04187547,_hypernym,n03859280,train
n09304750,_hypernym,n09366017,train
n12992868,_hyponym,n13054560,train
n11709674,_hypernym,n13109733,train
n04137444,_hypernym,n03294048,train
n03259505,_has_part,n02807731,train
n04218564,_hypernym,n02676261,train
n01685808,_hypernym,n01685439,train
n12655351,_has_part,n07745197,train
n03825080,_hypernym,n03051540,train
n03309808,_hyponym,n02828427,train
n00007846,_hyponym,n10362319,train
n01449712,_hypernym,n01448951,train
n01503061,_hyponym,n01825930,train
n00007846,_hyponym,n09801102,train
n02862048,_hyponym,n03146219,train
n02376918,_hypernym,n02374451,train
n04379243,_hyponym,n03179701,train
n02454379,_hyponym,n02456275,train
n00007846,_hyponym,n10699752,train
n02792552,_hyponym,n04577293,train
n00021265,_hyponym,n14899328,train
n11720353,_hyponym,n11722621,train
n07705931,_hyponym,n07765728,train
n12651821,_hyponym,n12742290,train
n12846335,_hypernym,n12205694,train
n02691156,_hyponym,n02867715,train
n03799375,_has_part,n02872333,train
n11953339,_has_part,n07731767,train
n07682624,_hyponym,n07683617,train
n03963645,_has_part,n04371774,train
n03343354,_hypernym,n03945615,train
n03323703,_hyponym,n03836451,train
n04576971,_hyponym,n03431745,train
n04511002,_hyponym,n04066023,train
n04161358,_hyponym,n02770830,train
n04191943,_hyponym,n04107984,train
n12806732,_hyponym,n12808007,train
n03282060,_hypernym,n03792048,train
n03714235,_hyponym,n04112752,train
n03122748,_hyponym,n03730893,train
n10097477,_hypernym,n10273064,train
n02955540,_hypernym,n04295081,train
n01576695,_hyponym,n01577458,train
n10067305,_hypernym,n09505153,train
n04059298,_hypernym,n03744276,train
n12656685,_hypernym,n12655869,train
n03112869,_hypernym,n03387323,train
n12641931,_hyponym,n12647376,train
n01587834,_hypernym,n01525720,train
n07856270,_hypernym,n07810907,train
n01802721,_hypernym,n02153203,train
n03384891,_hyponym,n03201638,train
n07726230,_hypernym,n07725376,train
n07735803,_hypernym,n07713395,train
n03501152,_hyponym,n02920369,train
n12711182,_hypernym,n12707781,train
n09437454,_hyponym,n09206985,train
n01676755,_hyponym,n01682714,train
n12205694,_hyponym,n12840749,train
n10299700,_hypernym,n00007846,train
n03495671,_member_holonym,n03351434,train
n02259377,_hypernym,n02246011,train
n03324928,_hypernym,n03763968,train
n09818022,_hypernym,n09629752,train
n03627232,_hyponym,n04241042,train
n12741222,_hypernym,n13104059,train
n03736970,_hyponym,n04055180,train
n07599998,_hypernym,n07596684,train
n10047459,_hyponym,n09872066,train
n02430045,_hyponym,n02431628,train
n12494794,_hypernym,n13109733,train
n03294048,_hyponym,n03270165,train
n12655869,_hypernym,n12653218,train
n02132136,_hyponym,n02132580,train
n03229244,_hypernym,n03323703,train
n04226537,_part_of,n02686568,train
n09931640,_hyponym,n09841515,train
n12593341,_part_of,n12593122,train
n02018795,_hypernym,n02000954,train
n03574816,_hypernym,n03183080,train
n01639765,_hyponym,n01644900,train
n07901587,_hyponym,n07903101,train
n04596852,_hypernym,n03051540,train
n07809368,_hypernym,n07809096,train
n03430551,_has_part,n03064935,train
n12903367,_hyponym,n12903503,train
n13109733,_hyponym,n11709674,train
n10067968,_hyponym,n10565502,train
n10215623,_hyponym,n09769929,train
n01616318,_hypernym,n01604330,train
n04402746,_has_part,n02934168,train
n03323703,_hyponym,n03682487,train
n04379243,_hyponym,n04603729,train
n07710616,_hypernym,n07566863,train
n01525720,_hyponym,n01594372,train
n12158798,_hyponym,n12158443,train
n13104059,_hyponym,n12378963,train
n04018155,_has_part,n04390873,train
n12173069,_hypernym,n12170585,train
n12061104,_hypernym,n12041446,train
n03430091,_part_of,n02785648,train
n12707781,_has_part,n07747055,train
n01854415,_hypernym,n01852861,train
n03542333,_hyponym,n08640531,train
n02862048,_has_part,n03146342,train
n12731401,_hyponym,n12732756,train
n03906997,_hypernym,n04608567,train
n02995998,_hyponym,n03514129,train
n11970101,_hypernym,n11669921,train
n04128837,_has_part,n04127904,train
n12729729,_hypernym,n12725521,train
n02419796,_hyponym,n02424305,train
n03058949,_hypernym,n03875218,train
n06275353,_hypernym,n06271778,train
n03474896,_part_of,n03336839,train
n03568117,_hypernym,n03183080,train
n04405907,_hypernym,n04060647,train
n04021798,_hyponym,n03844550,train
n03206908,_hypernym,n03094503,train
n04340935,_hyponym,n02806088,train
n01472502,_member_holonym,n01472303,train
n02715229,_part_of,n04472726,train
n03532342,_hyponym,n03351151,train
n02471762,_hyponym,n02472293,train
n02414578,_hypernym,n02401031,train
n04404997,_hypernym,n04405540,train
n07744057,_part_of,n12249542,train
n00007846,_hyponym,n10099375,train
n10198437,_hypernym,n10648696,train
n01906749,_hyponym,n01907738,train
n04043733,_hyponym,n03046921,train
n03309808,_hyponym,n03175189,train
n12707781,_hyponym,n12709103,train
n04300358,_hypernym,n03316406,train
n03323703,_hyponym,n04445327,train
n07578093,_hypernym,n07573696,train
n05399034,_hypernym,n07570720,train
n02079389,_hyponym,n02079851,train
n01532325,_hypernym,n01529672,train
n02022684,_hyponym,n02030996,train
n03686130,_part_of,n03544360,train
n11669921,_hyponym,n11727091,train
n10544232,_hypernym,n09610405,train
n04004475,_hyponym,n04504770,train
n11878283,_hyponym,n11879722,train
n02605316,_hypernym,n02554730,train
n03028079,_has_part,n03809686,train
n03294048,_hyponym,n03401721,train
n07736371,_part_of,n12604228,train
n03903424,_hypernym,n03659292,train
n12943049,_hypernym,n12205694,train
n10279018,_derivationally_related_form,n03699975,train
n12067193,_hypernym,n12065316,train
n03295928,_part_of,n02691156,train
n01324305,_hypernym,n00015388,train
n02735688,_hyponym,n04328946,train
n02968473,_has_part,n02765028,train
n07707451,_hyponym,n07715561,train
n01650167,_hyponym,n01650901,train
n03365374,_hypernym,n03665366,train
n03613294,_hypernym,n03183080,train
n07767847,_hypernym,n07705931,train
n04060647,_hyponym,n04043733,train
n10340312,_hyponym,n10382825,train
n03472796,_hypernym,n04497570,train
n02403231,_hypernym,n01321230,train
n12709901,_hypernym,n12707781,train
n07680932,_hypernym,n07679356,train
n11868814,_hyponym,n11879054,train
n02309337,_hyponym,n02302620,train
n03746330,_hypernym,n03051540,train
n03094503,_hyponym,n02975212,train
n01830042,_hypernym,n01829869,train
n13108841,_hyponym,n11652217,train
n03541696,_hyponym,n02961035,train
n01886756,_hyponym,n02503127,train
n04081844,_hyponym,n02742468,train
n03800933,_hyponym,n03915437,train
n03753077,_hyponym,n03841143,train
n11823043,_hypernym,n12205694,train
n13135832,_hyponym,n12696830,train
n02727825,_hyponym,n02995998,train
n04014297,_hyponym,n02955065,train
n03269401,_hyponym,n03213014,train
n02913152,_hyponym,n03457902,train
n03907654,_hypernym,n03574555,train
n10782471,_synset_domain_topic_of,n00467995,train
n02938886,_hyponym,n02679142,train
n04518132,_hypernym,n03359566,train
n11693981,_hyponym,n11694300,train
n10490421,_hypernym,n09841188,train
n02774630,_hypernym,n02974697,train
n12726902,_hypernym,n12724942,train
n01446589,_hypernym,n01438208,train
n12041446,_hyponym,n12062468,train
n03733925,_hyponym,n02794156,train
n00523513,_hyponym,n00448466,train
n04046974,_hypernym,n03327234,train
n12205694,_hyponym,n12475774,train
n00007846,_hyponym,n10380126,train
n03683708,_hypernym,n04105893,train
n02035210,_hypernym,n02034661,train
n09629752,_hyponym,n09810166,train
n02260421,_hypernym,n02159955,train
n02883344,_hyponym,n04340750,train
n09989502,_hyponym,n09834699,train
n12688716,_hypernym,n12685431,train
n01942177,_hyponym,n01951274,train
n03405725,_member_of_domain_topic,n03353281,train
n02554730,_hyponym,n02599958,train
n02801938,_hyponym,n03482405,train
n02131653,_hyponym,n02134084,train
n02867715,_hypernym,n02691156,train
n10402824,_hyponym,n09815455,train
n01321579,_hyponym,n01956344,train
n02606384,_hypernym,n02554730,train
n10411551,_hyponym,n10336904,train
n02066707,_hypernym,n02062744,train
n12205694,_hyponym,n12943443,train
n03100897,_part_of,n04008385,train
n07925966,_hypernym,n07881800,train
n03109881,_part_of,n02913152,train
n01621127,_hyponym,n01622959,train
n01909422,_hyponym,n01911839,train
n03432129,_part_of,n03791235,train
n03488603,_hypernym,n04208210,train
n02839910,_hypernym,n03094503,train
n07755411,_hypernym,n07705931,train
n12463743,_hypernym,n12425281,train
n03699975,_hyponym,n03999992,train
n05238282,_has_part,n05244934,train
n07742704,_hyponym,n07743902,train
n13100677,_hyponym,n12088909,train
n01909422,_hyponym,n01910747,train
n01981276,_hypernym,n01976957,train
n12205694,_hyponym,n12858150,train
n03579538,_hypernym,n03221720,train
n11616662,_hypernym,n11608250,train
n03050026,_hypernym,n03122748,train
n01976957,_hyponym,n01981702,train
n10502950,_hypernym,n09853645,train
n02642107,_hyponym,n02652132,train
n04405540,_hypernym,n03278248,train
n04370774,_hypernym,n03419014,train
n02051474,_hypernym,n02021795,train
n03659292,_hyponym,n03613592,train
n12779603,_hyponym,n12779851,train
n01922303,_hyponym,n01930112,train
n00007846,_hyponym,n10238272,train
n01498989,_hypernym,n01495701,train
n01439121,_hyponym,n01443831,train
n12744850,_has_part,n07763290,train
n03125870,_hyponym,n04264914,train
n02018027,_hypernym,n02014941,train
n12807624,_hypernym,n12806732,train
n03994417,_hypernym,n07819480,train
n04347519,_hypernym,n03701391,train
n02822220,_hyponym,n04034262,train
n12366675,_hypernym,n12651821,train
n01620414,_hypernym,n01618922,train
n02777734,_hypernym,n04341686,train
n07588947,_hypernym,n07557434,train
n03777126,_hypernym,n02729965,train
n03456186,_hypernym,n03051540,train
n02858304,_hyponym,n03790230,train
n02246628,_hyponym,n02247511,train
n04241394,_hypernym,n03380867,train
n01747885,_hyponym,n01748906,train
n01642943,_hypernym,n01639765,train
n12199790,_hypernym,n13109733,train
n01813385,_hypernym,n01812337,train
n00451866,_hypernym,n00523513,train
n03082127,_hypernym,n03659292,train
n04565375,_hypernym,n03574816,train
n02022684,_hyponym,n02039171,train
n04295881,_hyponym,n02782778,train
n04552348,_hyponym,n03335030,train
n03191561,_part_of,n04197391,train
n12102133,_hyponym,n12146311,train
n07642471,_hyponym,n07643026,train
n01560636,_hypernym,n01557185,train
n04070727,_hyponym,n03273913,train
n07873057,_hypernym,n07557165,train
n04595285,_hypernym,n03225777,train
n00015388,_hyponym,n01324610,train
n04202417,_hyponym,n03076411,train
n02742468,_part_of,n02687172,train
n02183857,_hyponym,n02184720,train
n04451818,_hyponym,n04023249,train
n11630017,_hypernym,n13108841,train
n12205694,_hyponym,n12552309,train
n04341686,_hyponym,n02777927,train
n04033995,_hyponym,n03266749,train
n02818832,_part_of,n02821627,train
n07817871,_part_of,n12939479,train
n04425977,_hypernym,n03431243,train
n13916721,_hypernym,n13915999,train
n03695122,_hypernym,n03738241,train
n02992032,_hypernym,n02853016,train
n02357911,_hypernym,n02358091,train
n13134947,_hyponym,n13133613,train
n03051540,_hypernym,n03122748,train
n02246011,_hyponym,n02251775,train
n02848523,_hypernym,n04110955,train
n07802417,_hyponym,n07803545,train
n04012482,_hypernym,n04012084,train
n01910252,_hypernym,n01909422,train
n13083023,_hyponym,n12832315,train
n02075296,_hyponym,n02441326,train
n00433458,_hyponym,n00463543,train
n00007846,_hyponym,n10525134,train
n07746186,_part_of,n12771390,train
n00523513,_hyponym,n00433661,train
n02295064,_hypernym,n02283201,train
n01930852,_hypernym,n01930112,train
n03880323,_hyponym,n03883664,train
n04478657,_part_of,n03291551,train
n11759224,_hyponym,n11759853,train
n03847823,_hypernym,n03722288,train
n10439851,_hyponym,n10136959,train
n04097866,_hypernym,n03419014,train
n04148054,_hypernym,n03265032,train
n07910656,_hypernym,n07907943,train
n03430959,_hyponym,n03619396,train
n02974697,_hypernym,n03094503,train
n02087551,_hyponym,n02089555,train
n02958343,_has_part,n02918595,train
n03852280,_hyponym,n02841315,train
n02274024,_hyponym,n02283201,train
n11608250,_hyponym,n11609475,train
n02950018,_hypernym,n03316406,train
n11545714,_hyponym,n13206178,train
n10323752,_hypernym,n10787470,train
n01877134,_hyponym,n01880152,train
n12205694,_hyponym,n12907057,train
n02757462,_hypernym,n04377057,train
n01695060,_hypernym,n01694709,train
n04184435,_hyponym,n03646296,train
n03269401,_has_part,n04413151,train
n01517565,_hyponym,n01521756,train
n04497570,_hypernym,n03045337,train
n02021795,_hyponym,n02045369,train
n11764478,_hypernym,n13104059,train
n02269196,_hyponym,n02269340,train
n00007846,_hyponym,n09618957,train
n01639765,_hyponym,n01648356,train
n07573696,_hyponym,n07574923,train
n02827606,_hypernym,n02671780,train
n12319204,_hypernym,n12318378,train
n07838233,_hypernym,n07829412,train
n13174670,_hypernym,n11545714,train
n12501202,_hypernym,n13108131,train
n03820318,_synset_domain_topic_of,n00467995,train
n11700058,_hypernym,n12205694,train
n10415037,_hyponym,n10036929,train
n02353861,_hyponym,n02354621,train
n07764315,_hypernym,n07705931,train
n07828275,_hypernym,n07809368,train
n02958343,_has_part,n02965783,train
n02062744,_hypernym,n02062430,train
n01594372,_hyponym,n01595624,train
n09638875,_hypernym,n00007846,train
n07709333,_hyponym,n07733217,train
n02988679,_hypernym,n04058239,train
n09815790,_hyponym,n09821831,train
n02246011,_hyponym,n02248368,train
n09606527,_hyponym,n10322238,train
n02295064,_hyponym,n02296612,train
n02792552,_hyponym,n03236423,train
n01925695,_hyponym,n01926379,train
n03419014,_has_part,n04613015,train
n02554730,_hyponym,n02622955,train
n03251766,_hyponym,n03483316,train
n03612965,_derivationally_related_form,n10734963,train
n10787470,_hyponym,n10323752,train
n03305522,_hypernym,n03183080,train
n02834778,_hyponym,n02835271,train
n11988893,_hypernym,n11672400,train
n04494204,_hypernym,n03277771,train
n13049953,_hyponym,n13050940,train
n02171869,_hyponym,n02174355,train
n02292692,_hypernym,n02291572,train
n01534762,_hypernym,n01529672,train
n03236735,_has_part,n04238321,train
n12433178,_has_part,n07723177,train
n02814533,_hyponym,n04201733,train
n12576323,_hypernym,n13136316,train
n09764201,_hyponym,n09627906,train
n00441824,_hyponym,n00442115,train
n03309808,_hyponym,n03115180,train
n02534734,_hypernym,n02534559,train
n02883344,_hyponym,n03127925,train
n07891726,_hyponym,n07899108,train
n03422072,_hypernym,n02923129,train
n02454379,_hypernym,n02453611,train
n03497657,_hyponym,n04441528,train
n07742704,_hyponym,n07743544,train
n02206270,_hyponym,n02217563,train
n11608250,_hypernym,n13108841,train
n03183080,_hyponym,n04474466,train
n11953610,_hypernym,n13125117,train
n12475242,_hypernym,n12475035,train
n02523877,_hypernym,n02521646,train
n07753743,_hyponym,n07754279,train
n02836035,_hypernym,n04574999,train
n02274822,_hyponym,n02276355,train
n03431745,_part_of,n03287733,train
n04445952,_hyponym,n03204558,train
n03105810,_hypernym,n04314914,train
n03249569,_hypernym,n03915437,train
n02469914,_hyponym,n02471300,train
n11693981,_hyponym,n11694866,train
n12268246,_hyponym,n12278371,train
n02872333,_part_of,n03799375,train
n02686568,_has_part,n03401721,train
n01674464,_hyponym,n01694709,train
n02099997,_hyponym,n02100236,train
n12491826,_hyponym,n12492106,train
n01564394,_hyponym,n01565599,train
n13085113,_hyponym,n11944196,train
n12466727,_hyponym,n12467592,train
n12159055,_hypernym,n12158798,train
n04125257,_hypernym,n04340750,train
n12058822,_hypernym,n12041446,train
n13172923,_hyponym,n13173882,train
n00007846,_hyponym,n09997622,train
n13110915,_hyponym,n12197359,train
n15092227,_hypernym,n15089472,train
n01957335,_hypernym,n01956481,train
n04043411,_hypernym,n03278248,train
n03639675,_hypernym,n03768132,train
n03051540,_hyponym,n04015204,train
n12651821,_hyponym,n12640607,train
n03454211,_has_part,n03532672,train
n03126385,_hypernym,n04275661,train
n03195485,_hypernym,n03679384,train
n10129825,_hyponym,n10129338,train
n02415253,_hypernym,n02414578,train
n03791235,_has_part,n03270165,train
n10366145,_hypernym,n10787470,train
n04191943,_hyponym,n02951843,train
n10748620,_hypernym,n10200781,train
n03015254,_has_part,n04190052,train
n07557434,_hyponym,n07874780,train
n03600977,_hyponym,n02928413,train
n11635152,_hypernym,n11630017,train
n03405265,_hyponym,n03405725,train
n03309808,_hyponym,n04524594,train
n02448885,_hypernym,n02447366,train
n03414162,_hyponym,n02778669,train
n02759963,_hyponym,n04171459,train
n10149867,_hypernym,n10249459,train
n13873502,_hyponym,n13874073,train
n10411356,_hypernym,n10557854,train
n03574816,_hyponym,n04577769,train
n13104059,_hyponym,n12510343,train
n09765278,_hyponym,n10740732,train
n02715229,_hyponym,n03204955,train
n04472726,_has_part,n02715229,train
n10665698,_hyponym,n10801561,train
n04524313,_hyponym,n03125870,train
n10178216,_hypernym,n10335931,train
n01614925,_hypernym,n01613294,train
n01874434,_hyponym,n01874928,train
n02974697,_hyponym,n02900705,train
n10717055,_hypernym,n10709529,train
n13104059,_hyponym,n12364604,train
n04348184,_hypernym,n04552696,train
n11978233,_hyponym,n11979715,train
n12710295,_hypernym,n12709901,train
n01745484,_hyponym,n01746191,train
n02958343,_has_part,n03327841,train
n00007846,_hyponym,n10575594,train
n04532106,_hypernym,n03450516,train
n09622049,_hypernym,n00007846,train
n11807108,_hyponym,n11807525,train
n09638875,_hyponym,n09641002,train
n07731587,_hypernym,n07723330,train
n10604634,_hyponym,n10419472,train
n02864593,_hypernym,n03988170,train
n03967396,_synset_domain_topic_of,n03082979,train
n11898775,_hypernym,n11898639,train
n12333530,_hypernym,n12651821,train
n02978205,_hypernym,n03513376,train
n13122364,_hyponym,n12617559,train
n02614978,_hyponym,n02615298,train
n01969726,_hyponym,n01970667,train
n01887896,_hypernym,n01321854,train
n02535537,_hypernym,n02534734,train
n07742704,_hyponym,n07744811,train
n02512053,_hyponym,n02513560,train
n12001294,_hypernym,n13118707,train
n07881800,_hyponym,n07844042,train
n03072201,_hypernym,n04404412,train
n02295064,_hyponym,n02297294,train
n04241042,_part_of,n04248851,train
n03014705,_has_part,n03661340,train
n04531098,_hyponym,n02863750,train
n03594734,_hypernym,n04489008,train
n03323703,_hyponym,n04160036,train
n10404998,_hypernym,n10791221,train
n04270147,_hypernym,n04500060,train
n04208210,_hyponym,n03488603,train
n03775199,_hypernym,n03621049,train
n10095869,_hyponym,n10684827,train
n12312728,_hypernym,n12205694,train
n12268246,_hyponym,n12275317,train
n02026059,_hyponym,n02029706,train
n01680264,_hypernym,n01676755,train
n09845401,_hypernym,n00007846,train
n07818689,_part_of,n12854600,train
n03490449,_part_of,n04519153,train
n04058096,_hypernym,n04105893,train
n02127808,_hypernym,n02120997,train
n12847374,_hypernym,n13100677,train
n04531098,_hyponym,n03990474,train
n04357930,_hypernym,n03082807,train
n02394477,_hyponym,n02398521,train
n04574999,_hypernym,n03700963,train
n11703669,_hypernym,n13109733,train
n03682487,_hypernym,n03323703,train
n03290195,_hypernym,n04341686,train
n12470092,_hypernym,n13100677,train
n10549510,_hypernym,n10522759,train
n12405714,_hyponym,n12408717,train
n13032381,_hypernym,n13032115,train
n11727091,_hyponym,n11727540,train
n01618922,_hyponym,n01620414,train
n10466918,_hypernym,n00007846,train
n13109733,_hyponym,n12199790,train
n12660601,_hypernym,n11665372,train
n12645174,_has_part,n07750586,train
n03699975,_hyponym,n02977058,train
n04041544,_has_part,n04043733,train
n15091846,_hypernym,n15090742,train
n12727518,_hypernym,n12727301,train
n03540595,_has_part,n03541091,train
n02891788,_has_part,n04519536,train
n00480993,_member_of_domain_topic,n02802544,train
n01662784,_hypernym,n01662622,train
n03257586,_hypernym,n02727825,train
n03574555,_hyponym,n03907654,train
n03815615,_hyponym,n02883205,train
n02229156,_hypernym,n02227966,train
n12822115,_hypernym,n12205694,train
n03762434,_part_of,n03788195,train
n12793015,_hyponym,n12793886,train
n03701391,_has_part,n04322026,train
n02817031,_part_of,n04110955,train
n03574816,_hyponym,n03739693,train
n10788852,_hypernym,n09619168,train
n07759816,_hyponym,n07760153,train
n03997484,_hyponym,n03996145,train
n11915214,_hyponym,n11990313,train
n10633450,_hyponym,n10075299,train
n13109733,_hyponym,n12818346,train
n12549420,_hypernym,n12548280,train
n04553703,_hypernym,n02801525,train
n01745125,_hyponym,n01745484,train
n03718581,_part_of,n03719053,train
n03525693,_hypernym,n03592245,train
n02014941,_hypernym,n02000954,train
n09853645,_hyponym,n10502950,train
n03765561,_hyponym,n04561422,train
n10419047,_hyponym,n10411867,train
n00021939,_hyponym,n04341686,train
n15089472,_hyponym,n15092227,train
n01550172,_hypernym,n01547832,train
n04005630,_has_part,n02992032,train
n02958343,_hyponym,n03141065,train
n03405595,_hypernym,n02671780,train
n07745466,_hypernym,n07742704,train
n07712382,_hypernym,n07557434,train
n03722007,_hypernym,n04608567,train
n09764900,_hypernym,n00007846,train
n04285146,_hyponym,n02799897,train
n01810700,_hyponym,n01815601,train
n10386984,_hyponym,n10387196,train
n02132136,_hyponym,n02132788,train
n02381460,_hypernym,n02374451,train
n07843775,_hyponym,n07849336,train
n00015388,_hyponym,n01314663,train
n09843443,_synset_domain_topic_of,n00471613,train
n02058747,_hypernym,n02058221,train
n02554730,_hyponym,n02573704,train
n10612210,_hyponym,n10609198,train
n01589286,_hyponym,n01589718,train
n04472243,_part_of,n03243625,train
n12542240,_hypernym,n13100677,train
n01585121,_hypernym,n01584225,train
n02119022,_hypernym,n02118333,train
n13085113,_hyponym,n12012253,train
n10794014,_hyponym,n10363573,train
n02942699,_has_part,n02943241,train
n02028900,_hypernym,n02026059,train
n12041446,_hyponym,n12053405,train
n03391770,_hyponym,n04545471,train
n02889996,_hypernym,n03156405,train
n01958038,_hyponym,n01958346,train
n03183080,_hyponym,n03508101,train
n07809368,_hyponym,n07822518,train
n02638596,_hyponym,n02640242,train
n03146219,_hypernym,n02862048,train
n04596852,_hyponym,n03817647,train
n07812662,_hypernym,n07809368,train
n03425595,_hypernym,n04330340,train
n09416076,_hyponym,n09381242,train
n04318131,_hypernym,n04285146,train
n07819480,_hyponym,n03994417,train
n03494706,_hypernym,n04295081,train
n03559999,_hypernym,n04020298,train
n01487506,_hypernym,n01482330,train
n03896103,_hypernym,n04194289,train
n12158798,_has_part,n07715561,train
n01571904,_hyponym,n01572782,train
n04413151,_part_of,n03269401,train
n04490091,_hyponym,n04467665,train
n01577659,_hyponym,n01577941,train
n03961939,_hyponym,n04296562,train
n03171228,_hypernym,n04566257,train
n10634990,_hypernym,n10380672,train
n02302620,_hyponym,n02303777,train
n12334891,_hyponym,n12335483,train
n02974003,_part_of,n03791235,train
n02554730,_hyponym,n02566109,train
n02358091,_hypernym,n02355227,train
n01580077,_hypernym,n01578575,train
n02642644,_hyponym,n02643112,train
n07577772,_hypernym,n07573696,train
n00007846,_hyponym,n09764900,train
n10239928,_hypernym,n09853881,train
n11672400,_hyponym,n11924014,train
n07557434,_hyponym,n07619004,train
n01643507,_hypernym,n01639765,train
n10728998,_derivationally_related_form,n02531625,train
n03724417,_hypernym,n03621049,train
n10599806,_hyponym,n10624310,train
n00015388,_hypernym,n00004475,train
n11628456,_hyponym,n11628793,train
n03738472,_hyponym,n03243625,train
n12708654,_has_part,n07748753,train
n03151077,_hyponym,n04209239,train
n12437513,_hyponym,n12437769,train
n02788148,_has_part,n02783994,train
n01940736,_hyponym,n01941223,train
n04531098,_hyponym,n02909870,train
n12493208,_hypernym,n13108131,train
n09820263,_hyponym,n09835506,train
n02554730,_hyponym,n02605316,train
n02402425,_hyponym,n02404186,train
n12920204,_hypernym,n12917901,train
n07642471,_hyponym,n07643306,train
n07750449,_part_of,n12709349,train
n03649909,_hypernym,n03418242,train
n02068974,_hyponym,n02071294,train
n02341475,_hypernym,n02339376,train
n12582231,_hyponym,n12582665,train
n12810595,_hypernym,n12205694,train
n01910747,_hypernym,n01909422,train
n01944390,_hyponym,n01944812,train
n09283866,_hypernym,n09287968,train
n03661340,_part_of,n02883344,train
n02329401,_hypernym,n01886756,train
n12205694,_hyponym,n12857779,train
n04190052,_hyponym,n03719343,train
n01613294,_hypernym,n01604330,train
n02985137,_has_part,n04152593,train
n11874423,_hypernym,n12205694,train
n02638596,_hypernym,n02528163,train
n09620078,_hypernym,n00007846,train
n01529672,_hyponym,n01541386,train
n04587648,_hypernym,n03391770,train
n12524188,_hyponym,n12496949,train
n03763968,_hyponym,n02811719,train
n02757462,_has_part,n04392526,train
n01555809,_hyponym,n01556514,train
n02122580,_hypernym,n01317541,train
n04295081,_hyponym,n03494706,train
n12284262,_hyponym,n12284821,train
n10630188,_hypernym,n09811712,train
n02206270,_hypernym,n02159955,train
n07904934,_hypernym,n07901587,train
n07826653,_hypernym,n07809368,train
n03565565,_hypernym,n03305522,train
n02531114,_hypernym,n02529772,train
n03932670,_hyponym,n03485794,train
n04171831,_hyponym,n04471632,train
n04313220,_hyponym,n04117216,train
n02159955,_hyponym,n02185481,train
n02774630,_hyponym,n02773838,train
n12334891,_hyponym,n12336092,train
n04131208,_hypernym,n04202417,train
n12402840,_hypernym,n12401335,train
n04190052,_part_of,n03049457,train
n13108841,_hyponym,n11655592,train
n07560542,_hypernym,n07570720,train
n04959061,_hypernym,n04958634,train
n02522399,_hyponym,n02523427,train
n12640607,_hyponym,n12641007,train
n13149296,_hyponym,n13149970,train
n00453935,_hyponym,n00454624,train
n13077295,_hyponym,n12980840,train
n02977619,_part_of,n04587648,train
n02041246,_hypernym,n02041085,train
n07557434,_hyponym,n07712382,train
n02822579,_hypernym,n03405725,train
n03058107,_hyponym,n03058949,train
n01569566,_hypernym,n01567133,train
n03292362,_hypernym,n02740764,train
n03686130,_hypernym,n03365991,train
n04468005,_member_meronym,n02959942,train
n01756291,_hypernym,n01754876,train
n11915214,_hyponym,n11915658,train
n03082979,_hyponym,n04175147,train
n01915811,_hyponym,n01916925,train
n02862048,_has_part,n02892392,train
n10324560,_hypernym,n09815790,train
n10411867,_hypernym,n10419047,train
n09361517,_hypernym,n09437454,train
n01525720,_hyponym,n01588431,train
n04390873,_part_of,n04018155,train
n07887634,_hypernym,n07886849,train
n12818346,_hypernym,n13109733,train
n04290259,_part_of,n02872752,train
n03096960,_hyponym,n03490449,train
n11807979,_hyponym,n11808721,train
n12953484,_hypernym,n12953206,train
n11792742,_hypernym,n13122364,train
n02587300,_hypernym,n02586543,train
n03365592,_hyponym,n03366721,train
n07813324,_hypernym,n07809368,train
n02382948,_hyponym,n02383231,train
n03183080,_hyponym,n02683558,train
n10117267,_hypernym,n10794014,train
n12033139,_hypernym,n13085113,train
n04524313,_hyponym,n03764276,train
n07569106,_hyponym,n07569423,train
n01542786,_hyponym,n01543383,train
n02976641,_hypernym,n02703275,train
n03895866,_hyponym,n04246855,train
n09989502,_hyponym,n09920901,train
n07754279,_hypernym,n07753743,train
n04359335,_hyponym,n02973017,train
n01546921,_hypernym,n01524359,train
n11669921,_hyponym,n11818636,train
n02528163,_hyponym,n01457082,train
n04530566,_hyponym,n02858304,train
n12651821,_hyponym,n12636224,train
n07581346,_hyponym,n07582277,train
n12198286,_hypernym,n13104059,train
n02139199,_hyponym,n02139671,train
n12408717,_hypernym,n12405714,train
n03343853,_hyponym,n03948459,train
n04122825,_hypernym,n02773037,train
n02002075,_hyponym,n02004492,train
n03748162,_hyponym,n03119203,train
n03054605,_hypernym,n02866578,train
n03384891,_hypernym,n02756098,train
n13915999,_hyponym,n13916721,train
n02991048,_hyponym,n04540761,train
n07889814,_hypernym,n07889510,train
n11672400,_hyponym,n12878169,train
n12360108,_hypernym,n11669921,train
n02691156,_has_part,n04592741,train
n02913152,_hypernym,n04341686,train
n01549430,_hypernym,n01547832,train
n04338517,_hyponym,n02880546,train
n02658079,_hyponym,n02659478,train
n04366116,_hypernym,n03738241,train
n07715721,_part_of,n12159055,train
n02470899,_hyponym,n02480153,train
n10112129,_hyponym,n09876701,train
n07809368,_hyponym,n07813324,train
n11800236,_part_of,n11799732,train
n02470899,_hyponym,n02483092,train
